Thu. Apr.  4, 2013             LANDSAT 5                 Time: 13:59
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L6687738            Path/Row: 180 / 033

L0R Reference Image: L51XXX1084164082100_HDF.130941836
Acquisition Date: Jun 12, 1984

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
180   033   2000-06-16


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1800330106   38.183264   28.957698   886.718      -0.486    -2.016    -0.133    -2.066
1800330107   38.775282   27.410752   247.938       3.894     3.971     3.154     4.574
1800330108   38.088850   28.299076   856.476      -6.554     2.513    -6.877     1.347
1800330110   38.114970   28.511364  1389.901      -3.552    -3.075    -2.964    -3.631
1800330111   39.564466   28.287064   440.959       2.796    -2.918     3.248    -2.397
1800330112   38.771349   28.448802   344.330       1.505     1.314     1.257     1.551
1800330113   38.930197   28.659680  1074.246       2.505    -1.762     2.763    -1.305
1800330115   38.790409   27.329316   448.474       2.673     0.031     2.625     0.487
1800330116   38.549430   27.060020    94.907       4.602    -4.147     5.242    -3.296
1800330117   38.490725   27.878685   193.451       3.043     1.591     2.724     2.087
1800330118   39.397068   27.692750   487.653       0.624     3.291     0.054     3.345
1800330119   39.257028   27.819674   598.345       0.482    -1.149     0.671    -1.048
1800330120   39.213639   28.705251  1143.930      -0.909    -2.743    -0.427    -2.852
1800330121   39.277104   27.847385   598.063      -1.052     1.590    -1.306     1.385
1800330122   39.461414   27.816138   549.822      -1.193     2.638    -1.623     2.393
1800330123   38.596869   27.993317   124.201      -0.212     0.780    -0.342     0.732
1800330124   38.071746   28.687629  1279.539      -2.649    -2.326    -2.206    -2.741
1800330125   38.543178   28.935409   890.353       5.104     2.483     4.595     3.317
1800330126   39.054985   27.796184   413.522       0.253     0.308     0.196     0.346
1800330127   38.883324   28.124575   707.719      -2.453    -0.429    -2.340    -0.841
1800330128   39.363567   27.642273   331.365       0.908     0.578     0.796     0.724
1800330129   38.790867   28.705146   590.562       0.127    -4.008     0.809    -3.922
1800330130   38.689758   28.354369   290.596       2.780    -2.351     3.139    -1.839
1800330131   39.332829   27.453328   299.002       4.391    -2.808     4.802    -2.017
1800330132   39.211419   28.763570  1071.484      -1.144     2.118    -1.486     1.888
1800330133   39.460496   28.092659   352.312       1.015    -0.599     1.101    -0.417
1800330134   39.454490   28.069901   461.092      -1.895     0.306    -1.917    -0.021
1800330135   38.690479   28.451998   295.625       0.679     3.301     0.103     3.366
1800330136   39.351737   28.469420   960.944      -3.614     1.561    -3.820     0.920
1800330137   39.047816   27.691059   496.157      -2.568    -3.404    -1.945    -3.788
1800330138   38.393956   28.999779   835.572      -0.292     2.347    -0.690     2.259
1800330139   38.087626   28.711254  1033.021      -2.888    -4.415    -2.083    -4.837
1800330140   39.024013   27.198354   225.678      -0.740     0.115    -0.747    -0.013
1800330141   38.440203   26.940644    44.000      -3.032    -3.420    -2.397    -3.886
1800330142   38.444540   26.968487    42.535      -3.932    -2.981    -3.358    -3.608
1800330143   38.140875   28.938080   912.214       0.847    -6.966     2.026    -6.705
1800330147   38.246088   28.380033  1274.397      -1.722     5.636    -2.658     5.245
1800330148   38.166839   28.920961   863.089       1.170    -3.167     1.693    -2.914
1800330150   38.066085   28.629022   990.766      -3.133    -3.427    -2.494    -3.907
1800330152   38.310177   27.248895   271.960      -1.056    -4.192    -0.319    -4.307
1800330156   39.373637   28.898590  1274.234      -2.067    -0.805    -1.896    -1.143
1800330157   39.285339   28.417943  1141.835      -6.159    -0.675    -5.940    -1.712
1800330158   39.423482   28.481730  1057.393      -3.051     1.221    -3.208     0.681
1800330160   38.068154   28.655058  1153.688      -3.062    -0.802    -2.873    -1.314
1800330161   39.050180   27.491386   492.463       1.914     6.486     0.776     6.708
1800330162   38.887777   28.270266   619.606      -5.117    -4.427    -4.279    -5.230
1800330163   38.509175   27.939811   134.908       1.395     6.697     0.226     6.833
1800330166   38.744729   27.325999   298.113       1.413     1.781     1.087     1.994
1800330168   38.277212   28.779142   753.404       6.094     1.412     5.752     2.435
1800330170   38.581738   28.271744   162.543      -5.400     3.600    -5.933     2.619
1800330172   38.690478   27.292292   185.682       1.143     3.671     0.497     3.809
1800330173   39.030600   28.236774   829.191      -2.626    -2.098    -2.225    -2.511
1800330175   38.673374   28.716838   468.986       2.587     4.138     1.838     4.516
1800330176   38.719075   28.434978   282.085       0.819    -0.544     0.899    -0.395
1800330177   38.217191   28.832164   765.610       2.824     1.446     2.529     1.907
1800330178   39.197405   29.162011   983.645      -0.986     1.079    -1.155     0.894
1800330181   39.224670   28.513335   659.410      -0.320    -0.911    -0.160    -0.951
1800330182   38.308002   28.918162   852.327      -0.621     6.185    -1.670     5.977
1800330183   38.124412   28.448585   681.281       1.532     0.097     1.490     0.359
1800330186   38.936755   27.157265   356.391      -3.437     1.136    -3.575     0.532
1800330187   38.249110   28.589904   304.761       0.659     5.882    -0.360     5.903
1800330188   38.575685   27.499846   679.231       0.569     1.255     0.345     1.332
1800330189   38.283645   26.917103   531.206      -4.831     4.635    -5.547     3.734
1800330190   39.689426   28.229556   337.947       2.573    -1.322     2.758    -0.864
1800330191   38.627894   27.230000   261.473       3.147    -0.178     3.129     0.363
1800330192   38.213083   28.634350   474.656       2.917     0.702     2.749     1.192
1800330193   38.466879   27.584377   121.694      -6.624     4.878    -7.357     3.668
1800330194   39.325109   27.490520   587.589       1.377     6.008     0.332     6.146
1800330195   38.594941   28.809005   443.194       4.798     3.641     4.099     4.406
1800330197   38.493951   27.454215   582.973       6.725    -2.458     7.038    -1.268
1800330198   38.514505   27.279535   480.300       2.705     1.169     2.462     1.612
1800330200   39.388578   27.753978   486.346      -0.571    -2.151    -0.195    -2.214
1800330201   38.660262   27.510088    74.178       2.668     4.045     1.935     4.439
1800330202   38.144698   28.817340   633.672      -2.081     3.730    -2.688     3.313
1800330205   39.037729   27.426479   276.292      -0.531    -6.784     0.637    -6.769
1800330206   38.904805   27.190410   556.024      -4.048     1.256    -4.196     0.545
1800330207   39.190013   27.734830   359.719      -0.651    -3.480    -0.047    -3.537
1800330209   38.903744   28.080613   499.258       1.539    -0.415     1.585    -0.145
1800330210   38.408868   28.849020  1078.623       2.456     3.913     1.745     4.269
1800330211   39.077868   28.451236   946.943      -3.863    -2.693    -3.340    -3.307
1800330213   38.600568   27.971319   122.530      -2.019     3.216    -2.539     2.821
1800330215   38.323140   28.850957   992.568      -2.108    -0.072    -2.061    -0.432
1800330216   38.620215   28.312742   302.141       1.901    -2.124     2.235    -1.765
1800330217   39.030024   28.047181   556.278      -2.626    -4.706    -1.781    -5.079
1800330218   39.239554   28.158398   267.684       0.162     4.491    -0.606     4.449
1800330219   38.586727   27.568469    78.272       5.814    -4.090     6.426    -3.032
1800330220   38.101259   28.930533   716.587       1.322    -0.338     1.358    -0.105
1800330221   38.804717   28.605289   696.144      -0.396     0.281    -0.438     0.209
1800330222   39.193660   28.124642   679.213      -2.594    -0.294    -2.502    -0.731
1800330223   39.324422   27.632865   314.232      -0.760     3.991    -1.428     3.799
1800330225   38.468426   28.843663   879.235      -0.547     4.013    -1.225     3.854
1800330230   39.466855   28.428595   581.819      -0.142     1.627    -0.417     1.577
1800330234   38.527917   29.006924   871.074       0.840     1.296     0.604     1.419
1800330235   38.951445   27.835184   154.779      -1.325     0.082    -1.318    -0.145
1800330236   39.598480   28.266380   782.752       1.624     0.531     1.508     0.798
1800330237   38.714922   28.122621   659.821       2.678    -2.503     3.062    -2.004
1800330239   39.306627   28.610085  1037.208      -3.372     4.112    -4.016     3.469
1800330240   39.106738   27.992108   304.651       0.399    -0.931     0.552    -0.848
1800330241   38.949885   28.276566   686.796      -0.649    -2.739    -0.171    -2.805
1800330242   39.178339   28.679045   694.882      -6.505    -3.291    -5.839    -4.348
1800330243   39.500688   28.157139   365.392       1.548     4.663     0.730     4.853
1800330245   38.897524   28.243802   684.591      -1.188    -3.157    -0.630    -3.308
1800330246   38.268781   28.817686  1077.541      -3.244     0.767    -3.321     0.198
1800330249   39.322658   27.608835   329.960      -2.342     0.457    -2.382     0.051
1800330250   39.639752   28.479343   751.333       0.695    -2.092     1.039    -1.940
