Fri. Mar.  1, 2013             LANDSAT 5                 Time: 02:34
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L6294622            Path/Row: 181 / 033

L0R Reference Image: L51XXX1090219080100_HDF.130600820
Acquisition Date: Aug 07, 1990

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
181   033   2000-06-07


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1810330096   38.325803   26.157859    59.986      -0.526     0.573    -0.625     0.464
1810330097   38.309873   26.377995    43.000      -2.542    -4.810    -1.595    -5.200
1810330098   39.088929   26.530777   164.126       2.184    -0.803     2.295    -0.381
1810330099   39.680756   26.899715  1120.550      -4.226     4.342    -4.951     3.471
1810330100   38.401825   27.015919    57.536      -2.920     0.487    -2.957    -0.069
1810330101   39.024451   27.615279   348.624       4.082     4.063     3.249     4.752
1810330103   38.447389   27.173731    49.783       1.657     3.608     0.953     3.854
1810330104   39.603764   27.248919   571.518      -1.213    -0.869    -1.028    -1.078
1810330105   38.930093   27.047533    46.000       5.330    -2.464     5.695    -1.423
1810330107   38.455297   27.120112    47.049       4.899    -6.090     5.951    -5.062
1810330108   39.598081   26.974609    60.531      -3.862    -1.819    -3.453    -2.507
1810330109   38.418181   26.690824    59.867       0.897    -0.993     1.067    -0.807
1810330110   39.325109   27.490520   587.589       0.875    -2.265     1.282    -2.059
1810330111   38.487549   27.244000   301.347       0.855    -4.059     1.600    -3.824
1810330112   38.973583   26.376387    53.997       6.052    -1.361     6.198    -0.206
1810330113   38.942386   27.188433   504.087       3.933     2.523     3.390     3.212
1810330114   39.199884   25.821293    57.290       3.575     0.655     3.387     1.310
1810330115   38.447354   27.196421    52.021       2.853     0.360     2.736     0.888
1810330116   38.891139   26.910867    46.000       2.116    -4.984     3.010    -4.498
1810330117   38.910812   27.149942   390.685       0.557     5.310    -0.444     5.316
1810330118   39.266694   27.556187   204.856      -2.313     3.843    -2.986     3.341
1810330119   38.560135   25.611456   136.964       2.741     2.340     2.252     2.810
1810330120   39.264182   27.113482   622.569      -4.863     0.977    -4.953     0.051
1810330121   38.476958   26.916194    44.635      -5.160     4.569    -5.921     3.519
1810330122   38.580816   26.566478    46.788      -0.534    -1.647    -0.216    -1.717
1810330123   38.367301   26.034783   618.364      -3.104    -1.581    -2.750    -2.132
1810330124   38.970564   26.541602    46.000       3.275    -0.072     3.230     0.541
1810330125   38.964261   26.403132    53.440       2.580    -1.495     2.813    -0.986
1810330126   38.663512   26.491153    45.786       0.306    -1.344     0.552    -1.263
1810330127   38.399981   25.967354    49.445       5.410    -1.717     5.634    -0.673
1810330128   39.368794   26.374280    46.000      -1.429    -4.560    -0.552    -4.745
1810330129   38.576037   27.322480   646.688      -2.582     0.839    -2.688     0.340
1810330131   39.592766   26.675885   442.238      -1.567     4.735    -2.421     4.355
1810330132   39.037729   27.426479   276.292      -1.616     6.816    -2.858     6.389
1810330133   39.682849   26.838490  1054.245      -3.802     2.633    -4.218     1.874
1810330134   38.932471   27.122643   317.889       0.728     1.446     0.445     1.556
1810330136   38.368524   26.895027    66.739       0.450    -4.953     1.370    -4.778
1810330137   39.218212   27.281609   192.570       0.586     3.045     0.008     3.100
1810330138   38.923883   27.015689    45.882       0.332     0.304     0.270     0.360
1810330139   38.283374   26.917103   533.513      -2.382    -1.669    -2.024    -2.083
